저널명,SJR,랭킹
Ca-A Cancer Journal for Clinicians,145.004,1
MMWR Recommendations and Reports,41.754,2
Nature Reviews Molecular Cell Biology,37.353,3
Quarterly Journal of Economics,35.995,4
Nature Reviews Drug Discovery,30.506,5
Nature Reviews Clinical Oncology,28.675,6
American Economic Review,25.102,7
Nature Reviews Cancer,24.378,8
Journal of Finance,22.836,9
Foundations and Trends in Machine Learning,22.797,10
Cell,22.612,11
Econometrica,21.091,12
Nature Reviews Materials,19.430,13
Review of Economic Studies,19.166,14
New England Journal of Medicine,19.076,15
Annals of Oncology,19.072,16
Cancer Cell,19.027,17
Nature Biotechnology,19.006,18
World Psychiatry,18.419,19
Nature Medicine,18.333,20
Ca-A Cancer Journal for Clinicians,145.004,21
MMWR Recommendations and Reports,41.754,22
Nature Reviews Molecular Cell Biology,37.353,23
Quarterly Journal of Economics,35.995,24
Nature Reviews Drug Discovery,30.506,25
Nature Reviews Clinical Oncology,28.675,26
American Economic Review,25.102,27
Nature Reviews Cancer,24.378,28
Journal of Finance,22.836,29
Foundations and Trends in Machine Learning,22.797,30
Cell,22.612,31
Econometrica,21.091,32
Nature Reviews Materials,19.430,33
Review of Economic Studies,19.166,34
New England Journal of Medicine,19.076,35
Annals of Oncology,19.072,36
Cancer Cell,19.027,37
Nature Biotechnology,19.006,38
World Psychiatry,18.419,39
Nature Medicine,18.333,40
Nature,18.288,41
Reviews of Modern Physics,18.080,42
Nature Reviews Disease Primers,17.995,43
Journal of Financial Economics,17.669,44
Nature Energy,17.599,45
Nature Reviews Immunology,17.458,46
Nature Methods,17.251,47
Journal of Political Economy,17.087,48
Nature Genetics,16.586,49
Review of Financial Studies,16.546,50
Chemical Reviews,16.455,51
Annual Review of Immunology,16.428,52
Nature Reviews Genetics,16.364,53
National Vital Statistics Reports,15.519,54
MMWR Surveillance Summaries,15.326,55
Nature Reviews Methods Primers,15.026,56
Nature Nanotechnology,14.612,57
Living Reviews in Relativity,14.562,58
Academy of Management Review,14.402,59
Nature Materials,14.204,60
IEEE Communications Surveys and Tutorials,14.184,61
Nature Catalysis,14.132,62
Academy of Management Annals,13.877,63
Nature Reviews Microbiology,13.861,64
Annual Review of Psychology,13.786,65
American Economic Journal: Macroeconomics,13.528,66
Nature Reviews Earth and Environment,13.465,67
Nature Reviews Chemistry,13.441,68
Journal of Marketing,13.394,69
Journal of Economic Literature,12.749,70
Annual Review of Astronomy and Astrophysics,12.736,71
Annual Review of Organizational Psychology and Organizational Behavior,12.191,72
The Lancet Diabetes and Endocrinology,12.190,73
